step,time_s,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z,roll,pitch,lon_flap,lat_flap,pos_err_y,norm_state_0,norm_state_1,norm_state_2,norm_state_3,norm_state_4,norm_state_5,norm_state_6,norm_state_7,norm_state_8,norm_state_9,norm_state_10,collective,lateral_cyclic,longitudinal_cyclic,tail_rotor_cyclic
0,0.016666668,0,0,1,0,0,0,0,-0,0,0,0,0,0,0.7615942,0,0,0,0,-0,0,0,0,0.99853396,-0.99776405,0.9106052,0.90996325
1,0.033333335,0,-0.16333334,1,0,0,0,0,-0,0.049798723,-0.05456522,-0.0027222226,0,-0.16189621,0.7615942,0,0,0,0,-0,0.09926943,-0.10869927,-0.0027222158,0.9999996,-0.7535585,0.2102009,0.9899613
2,0.050000004,-0.011778608,-0.087729506,0.99551934,-0.03789251,-0.008267117,-0.009880698,-0.0001646348,-0.0006315531,0.045567304,-0.07809228,-0.0041738697,-0.011778063,-0.087505125,0.75970596,-0.07564026,-0.016532727,-0.019758824,-0.00027439132,-0.0010525881,0.090883136,-0.15492685,-0.0041738455,0.9999874,0.9421176,-0.0776039,0.8515773
3,0.06666667,-0.022303188,-0.012854196,0.9950903,-0.092123255,-0.02226022,-0.018921824,-0.00047948014,-0.0021670605,0.026768195,-0.0006309971,-0.0043519875,-0.02229949,-0.012853488,0.75952446,-0.18218958,-0.04449105,-0.03782559,-0.0007991333,-0.0036117518,0.0534853,-0.0012619935,-0.00435196,0.9995803,0.6461133,-0.12912515,0.30879006
4,0.083333336,-0.028239751,0.062033877,0.97862047,-0.09256145,-0.026239214,-0.024232976,-0.00088208116,-0.0037100504,0.010937719,0.0364432,-0.0032571699,-0.028232247,0.061954428,0.7524681,-0.18303674,-0.052430306,-0.04842804,-0.0014701341,-0.0061833384,0.021871949,0.07275761,-0.0032571584,0.9833791,-0.5086429,0.0047513484,-0.076213576
5,0.1,-0.030923268,0.13730156,0.96349084,-0.06725367,0.009044857,-0.026403159,-0.001322783,-0.00483078,0.007339468,-0.0016408153,-0.0008905842,-0.030913414,0.13644522,0.74582994,-0.133702,0.018087741,-0.05275729,-0.0022046347,-0.008051125,0.014677882,-0.0032816187,-0.00089058396,0.45003724,0.40550405,-0.09836225,-0.17500395
6,0.11666667,-0.033699658,0.21060656,0.96475893,-0.068393126,0.07149204,-0.027859405,-0.0017935501,-0.005968813,-0.00079762377,0.022187827,0.002716438,-0.033686906,0.20754701,0.74639213,-0.13593948,0.14201757,-0.05566122,-0.0029892412,-0.009947693,-0.0015952461,0.04434655,0.0027164312,-0.8779385,-0.21674925,-0.16416477,0.40233418
7,0.13333334,-0.03529258,0.22022842,0.9634194,-0.05298491,0.1197457,-0.027701147,-0.0022680375,-0.0068478487,-0.009987813,0.0042837374,0.006498105,-0.035277937,0.21673577,0.74579823,-0.10557492,0.2350153,-0.05534568,-0.0037800444,-0.011412585,-0.01997297,0.008567265,0.0064980136,-0.9275397,0.106190555,-0.111046016,0.75868994
8,0.15,-0.036262088,0.070720226,0.9545061,-0.05001008,0.09149858,-0.025719436,-0.0027077855,-0.0076775644,-0.013368108,0.009585867,0.007800509,-0.036246203,0.07060256,0.7418163,-0.099687956,0.18098143,-0.05139355,-0.0045129447,-0.012795242,-0.026729848,0.019169385,0.007800351,0.9598019,-0.31786954,-0.009007776,0.9407889
9,0.16666667,-0.036249936,-0.084613726,0.93849546,-0.04335323,0.03699096,-0.023067031,-0.0030972087,-0.008398338,-0.010067638,-0.010070654,0.006523569,-0.036234066,-0.08441237,0.7345302,-0.08648983,0.073847234,-0.04610136,-0.0051619685,-0.013996316,-0.020132555,-0.020138584,0.0065234764,0.9999829,0.15834367,0.07743706,0.97141755
10,0.18333334,-0.033755492,-0.013800485,0.9213725,-0.050346747,0.024827145,-0.021069484,-0.0034520393,-0.009236107,-0.00303782,0.002574957,0.006437343,-0.033742677,-0.013799609,0.72654605,-0.10035455,0.04961352,-0.04211404,-0.0057533355,-0.015392295,-0.0060755652,0.0051498683,0.006437254,0.99963516,0.16619839,-0.054086335,0.82668793
11,0.2,-0.032667372,0.061875694,0.90060925,-0.048558578,0.012175308,-0.020466741,-0.0037951362,-0.010044693,-0.00538746,0.011668567,0.0076213805,-0.032655757,0.061796848,0.7165944,-0.09681298,0.024345804,-0.040910635,-0.0063251425,-0.01673959,-0.0107745025,0.023332898,0.007621233,0.9877806,-0.03335292,0.017333858,0.3040892
12,0.21666667,-0.030947218,0.1376481,0.8803617,-0.0404554,0.009982292,-0.019397799,-0.004120188,-0.010718303,-0.0030792302,0.006872408,0.010074751,-0.030937342,0.1367853,0.7066005,-0.0807347,0.01996193,-0.038776144,-0.0068668714,-0.017861938,-0.0061583826,0.013743951,0.010074411,0.6425151,0.16250524,-0.023921099,-0.32015765
13,0.23333333,-0.030261861,0.2120769,0.8712295,-0.035682898,0.045097176,-0.018786844,-0.004441608,-0.0113098165,-0.00373827,0.014206501,0.013775565,-0.030252626,0.20895357,0.7019983,-0.07124489,0.08995057,-0.037556015,-0.007402545,-0.018847462,-0.0074764006,0.028405357,0.013774693,-0.7974334,-0.017400997,-0.08856497,-0.19831304
14,0.25,-0.03049135,0.24526243,0.8727927,-0.025817268,0.11117166,-0.01804512,-0.0047637303,-0.011731594,-0.007714209,0.00924564,0.018036013,-0.030481905,0.24046013,0.70279026,-0.051588695,0.21875039,-0.03607458,-0.007939383,-0.019550163,-0.015427195,0.018489173,0.018034058,-0.9624546,0.017576315,-0.13802752,0.6002041
15,0.26666668,-0.031411696,0.10593314,0.8744355,-0.019396683,0.1273815,-0.016514523,-0.005064231,-0.012044457,-0.013127141,0.00764086,0.019979594,-0.03140137,0.10553865,0.7036207,-0.038773917,0.2493907,-0.03301704,-0.008440184,-0.020071398,-0.02624825,0.015280531,0.019976936,0.86300105,-0.270104,-0.08997226,0.97804546
16,0.28333336,-0.031719793,-0.053095028,0.86083543,-0.014090529,0.08409395,-0.01390993,-0.0053131194,-0.012272044,-0.014177099,-0.00928338,0.019273628,-0.031709157,-0.05304519,0.6966878,-0.0281736,0.1666198,-0.027812686,-0.008854967,-0.020450555,-0.028346602,-0.018564627,0.019271242,0.9999387,0.14049362,0.09344765,0.99508524
17,0.30000004,-0.02860151,0.00661409,0.8420675,-0.02053732,0.065142445,-0.011097014,-0.0055115987,-0.012608468,-0.0048212875,0.0016432106,0.019563425,-0.028593713,0.0066139936,0.6869026,-0.041051555,0.1295527,-0.022190385,-0.00918574,-0.02101102,-0.009642276,0.0032864094,0.01956093,0.999198,0.16627741,-0.019035572,0.9619473
18,0.31666672,-0.027253874,0.0827627,0.820482,-0.019396203,0.050775908,-0.010140411,-0.0056914343,-0.012927012,-0.0045246496,0.010546274,0.021122016,-0.027247127,0.082574256,0.6753322,-0.03877296,0.10120416,-0.02027804,-0.009485439,-0.021541687,-0.009049052,0.02108942,0.021118876,0.9710613,-0.018891865,0.030544106,0.74923015
19,0.3333334,-0.025779823,0.15892878,0.79735976,-0.012072396,0.038775466,-0.00924266,-0.0058539114,-0.013124499,-0.00159436,0.0064186207,0.02394748,-0.025774114,0.15760407,0.66255814,-0.024140103,0.07739584,-0.018483216,-0.009756209,-0.021870675,-0.0031887093,0.012836536,0.023942903,0.28467295,0.14785326,0.01651584,0.046477545
