index,episode_time,steps,noise,episode_reward,avg_critic_loss,avg_actor_loss
0,2.5999982,156,0,23.42734,0.3253467,-0.02203418
1,1.799999,108,0,0.46433425,0.00020723848,-0.009515714
2,3.0166645,181,0,1.1740732,0.0004666416,0.0036624246
3,1.2499995,75,0,2.41563,0.0053236387,-0.013179495
4,0.9666664,58,0,4.2117105,0.025685411,-0.025515126
5,1.0999997,66,0,12.735889,0.28988004,-0.044172976
6,0.91666645,55,0,2.6623616,0.012967133,-0.04758148
7,0.65000004,39,0,3.579493,0.0430242,-0.04259464
8,0.71666664,43,0,1.2059889,0.003982573,-0.060758
9,0.6333334,38,0,2.0990684,0.01674994,-0.05397257
10,0.6000001,36,0,1.5453814,0.008379095,-0.06701316
11,0.6666667,40,0,3.36081,0.036290843,-0.07220673
12,0.6666667,40,0,10.550308,0.57868046,-0.09721799
13,0.58333343,35,0,2.097298,0.014947367,-0.12831677
14,0.61666673,37,0,3.9969177,0.07947887,-0.08745053
15,0.65000004,39,0,6.046586,0.1738997,-0.120516054
16,0.5666668,34,0,3.0401857,0.037488524,-0.1522448
17,0.6666667,40,0,3.9295228,0.07702663,-0.117249504
18,0.6000001,36,0,4.1263967,0.051927883,-0.19429965
19,0.5666668,34,0,1.920534,0.021845417,-0.12622632
20,0.6666667,40,0,3.2921507,0.040953327,-0.11575296
21,0.6000001,36,0,11.598921,0.6718229,-0.19729917
22,0.65000004,39,0,3.7964313,0.058024567,-0.19665188
23,0.61666673,37,0,2.5540318,0.021662733,-0.15222046
24,0.58333343,35,0,5.941078,0.16065623,-0.24216267
25,0.6666667,40,0,0.9389012,0.006772071,-0.2714363
26,0.5666668,34,0,2.9729044,0.034488004,-0.17291167
27,0.6000001,36,0,1.9940045,0.010669497,-0.23156686
28,0.65000004,39,0,3.0453422,0.020076603,-0.28703108
29,0.68333334,41,0,9.1132965,0.3273768,-0.23358348
30,0.61666673,37,0,6.546492,0.1493909,-0.25272635
31,0.6666667,40,0,2.072209,0.01056894,-0.18376534
32,0.6666667,40,0,1.3014687,0.005456097,-0.28548518
33,0.5666668,34,0,1.9103768,0.01846952,-0.23526616
34,0.61666673,37,0,3.9180937,0.057323836,-0.33100247
35,0.68333334,41,0,1.7769717,0.005822417,-0.18734942
36,0.5666668,34,0,3.2275758,0.029588776,-0.41028187
37,0.65000004,39,0,0.96842545,0.0038454107,-0.25862655
38,0.61666673,37,0,1.1148167,0.0059476644,-0.16425076
39,0.6666667,40,0,1.9540147,0.010359709,-0.19990344
40,0.55000013,33,0,1.7916603,0.017128013,-0.2360567
41,0.55000013,33,0,2.8744228,0.028390191,-0.40728155
42,0.58333343,35,0,4.202728,0.08068756,-0.292018
43,0.6000001,36,0,5.693462,0.1554228,-0.34097946
44,0.6000001,36,0,4.823863,0.07880405,-0.48631567
45,0.5666668,34,0,1.3380849,0.009526256,-0.38392985
46,0.6000001,36,0,1.2013904,0.0050219838,-0.37353563
47,0.61666673,37,0,3.49664,0.047866948,-0.25801992
48,0.65000004,39,0,3.211961,0.04927652,-0.22700147
49,0.65000004,39,0,1.4122466,0.007455264,-0.45677772
50,0.68333334,41,0,2.3125756,0.010633667,-0.32067084
51,0.5666668,34,0,3.1438649,0.029093072,-0.46092746
52,0.61666673,37,0,3.4829407,0.036572594,-0.30222723
53,0.68333334,41,0,1.3326623,0.006328746,-0.20697726
54,0.6333334,38,0,3.1403093,0.032649845,-0.25664833
55,0.65000004,39,0,3.5604558,0.037329048,-0.42974642
56,0.6333334,38,0,9.78261,0.28758118,-0.4895078
57,0.55000013,33,0,1.9186615,0.034633543,-0.61570734
58,0.61666673,37,0,5.802951,0.06914663,-0.55756503
59,0.68333334,41,0,3.4809449,0.018318389,-0.33081794
60,0.65000004,39,0,3.3508115,0.023843832,-0.3899766
61,0.61666673,37,0,3.6377757,0.018687243,-0.73223555
62,0.58333343,35,0,2.412147,0.031324834,-0.22871041
63,0.65000004,39,0,4.0343976,0.038425315,-0.37128428
64,0.55000013,33,0,1.528581,0.01772081,-0.4585098
65,0.5666668,34,0,0.8395069,0.007869471,-0.30256775
66,0.55000013,33,0,0.98756516,0.0062442236,-0.543438
67,0.6333334,38,0,1.3711916,0.011619852,-0.3412246
68,0.55000013,33,0,1.4625163,0.008282316,-0.47552082
