index,episode_time,steps,noise,episode_reward,avg_critic_loss,avg_actor_loss
0,2.4499984,147,0,23.217384,0,0
1,1.9999988,120,0,0.40830854,0.20781627,-0.0149420835
2,2.183332,131,0,0.88646877,0.15362723,-0.081843026
3,1.2333329,74,0,1.7940267,0.12929776,-0.2877401
4,0.88333315,53,0,2.8384173,0.14022206,-0.7922396
5,1.0999997,66,0,15.042127,0.50083447,-2.0471313
6,0.81666654,49,0,1.9214683,1.8694925,-4.216378
7,0.61666673,37,0,3.3412552,4.4751153,-6.5845766
8,0.65000004,39,0,1.0274144,8.881308,-9.261889
9,0.58333343,35,0,1.9287438,15.823449,-12.5641775
10,0.55000013,33,0,1.3084666,25.085098,-15.943423
11,0.61666673,37,0,2.8889525,39.8609,-20.044127
12,0.65000004,39,0,9.641669,62.599827,-25.051601
13,0.5666668,34,0,1.9608892,93.672745,-30.489616
14,0.61666673,37,0,4.177522,131.51138,-36.338142
15,0.6333334,38,0,5.813774,190.43921,-43.233376
16,0.55000013,33,0,2.834596,257.91202,-50.656635
17,0.6666667,40,0,3.893189,344.20865,-58.73954
18,0.6000001,36,0,3.8660755,457.2416,-67.79425
19,0.5666668,34,0,1.8782989,573.4525,-76.81868
20,0.6666667,40,0,3.3142753,724.9631,-87.368835
21,0.6000001,36,0,11.574766,909.1413,-98.41429
22,0.65000004,39,0,3.721251,1133.7793,-110.65752
23,0.61666673,37,0,2.5494604,1414.4135,-124.38692
24,0.58333343,35,0,5.7912555,1695.4946,-137.33186
25,0.6666667,40,0,0.907568,2059.232,-152.25603
26,0.5666668,34,0,2.9415126,2378.3372,-166.37206
27,0.6000001,36,0,1.9586627,2829.8823,-182.05032
28,0.65000004,39,0,3.035809,3366.4353,-199.2679
29,0.68333334,41,0,9.062998,3773.216,-216.73776
30,0.61666673,37,0,6.473166,4388.742,-234.6046
31,0.6666667,40,0,2.060671,4974.813,-252.85837
32,0.6666667,40,0,1.2913206,5686.3267,-270.91412
33,0.5666668,34,0,1.9079167,6518.1943,-292.3284
34,0.61666673,37,0,3.8960598,7528.2837,-313.91235
35,0.68333334,41,0,1.7729375,8193.026,-332.25824
36,0.5666668,34,0,3.222863,9505.206,-356.95383
37,0.65000004,39,0,0.9657785,9889.517,-373.91693
38,0.61666673,37,0,1.1120285,10900.212,-393.5051
39,0.6666667,40,0,1.9542048,12432.347,-413.98886
40,0.55000013,33,0,1.790417,13477.92,-430.08105
41,0.55000013,33,0,2.8608208,14012.737,-443.91037
42,0.58333343,35,0,4.1833076,15169.979,-460.5465
43,0.6000001,36,0,5.6780906,15813.789,-473.63367
44,0.6000001,36,0,4.8074527,17578.594,-493.76804
45,0.5666668,34,0,1.3343264,17849.605,-503.18607
46,0.6000001,36,0,1.1994383,19041.37,-515.7085
47,0.61666673,37,0,3.4938097,19491.064,-526.61035
48,0.65000004,39,0,3.207735,20226.846,-533.8303
49,0.65000004,39,0,1.4050702,21485.277,-544.10565
50,0.68333334,41,0,2.3075485,21992.012,-552.0244
51,0.5666668,34,0,3.1364098,22049.53,-551.2179
52,0.61666673,37,0,3.4812639,21657.88,-552.6347
53,0.68333334,41,0,1.3310317,21377.096,-543.31104
54,0.6333334,38,0,3.1376772,21639.014,-539.08203
55,0.65000004,39,0,3.5547347,20793.33,-533.5083
56,0.6333334,38,0,9.778778,20568.693,-526.8567
57,0.55000013,33,0,1.9174608,18955.223,-514.98755
58,0.61666673,37,0,5.7967467,19108.105,-508.18594
59,0.68333334,41,0,3.4798594,17955.637,-484.526
60,0.65000004,39,0,3.3494017,16242.694,-464.12762
61,0.61666673,37,0,3.6348782,15494.985,-439.24802
